,store_ID,day_of_week,nb_customers_on_day,open,promotion,school_holiday,year,month,day,is_weekend,state_holiday_a,state_holiday_b,state_holiday_c,predicted_sales
0,415,6,0,0,0,0,2015,3,1,1,0.0,0.0,0.0,203.74937
1,27,6,0,0,0,0,2013,12,29,1,0.0,0.0,0.0,65.42
2,404,2,657,1,1,0,2014,3,19,0,0.0,0.0,0.0,6681.6724
3,683,1,862,1,0,0,2013,1,29,0,0.0,0.0,0.0,6168.9478
4,920,2,591,1,1,0,2014,3,19,0,0.0,0.0,0.0,6208.6567
5,758,3,569,1,0,0,2014,6,26,0,0.0,0.0,0.0,4420.6177
6,563,0,321,1,1,0,2015,2,16,0,0.0,0.0,0.0,4106.1763
7,930,5,1367,1,0,0,2014,11,22,1,0.0,0.0,0.0,7672.714
8,756,3,0,0,1,0,2015,6,4,0,1.0,0.0,0.0,335.50327
9,49,1,546,1,1,0,2015,1,13,0,0.0,0.0,0.0,7996.576
10,787,3,968,1,0,1,2015,7,23,0,0.0,0.0,0.0,7928.6196
11,782,3,472,1,0,0,2013,9,19,0,0.0,0.0,0.0,3911.8704
12,897,6,0,0,0,0,2014,4,20,1,0.0,0.0,0.0,7.904603
13,933,0,965,1,0,0,2013,12,9,0,0.0,0.0,0.0,8143.8096
14,218,1,804,1,0,1,2015,4,7,0,0.0,0.0,0.0,6127.84
15,554,2,499,1,1,1,2013,10,9,0,0.0,0.0,0.0,4734.6987
16,362,0,1337,1,1,1,2013,8,12,0,0.0,0.0,0.0,12161.398
17,655,2,560,1,0,0,2014,4,9,0,0.0,0.0,0.0,5051.378
18,785,2,461,1,0,1,2014,12,31,0,0.0,0.0,0.0,3967.5027
19,690,2,866,1,1,0,2014,3,19,0,0.0,0.0,0.0,7545.004
20,1103,6,0,0,0,0,2015,2,15,1,0.0,0.0,0.0,139.17406
21,431,0,1367,1,1,0,2014,6,2,0,0.0,0.0,0.0,13323.598
22,127,1,642,1,1,0,2013,9,24,0,0.0,0.0,0.0,6446.249
23,579,4,0,0,1,1,2013,3,29,0,0.0,1.0,0.0,-92.648285
24,248,5,1139,1,0,0,2013,8,3,1,0.0,0.0,0.0,7909.3647
25,962,5,0,0,0,0,2014,1,11,1,0.0,0.0,0.0,-142.54343
26,224,1,515,1,1,1,2013,3,26,0,0.0,0.0,0.0,6447.8516
27,208,2,355,1,1,1,2013,6,19,0,0.0,0.0,0.0,3136.1248
28,401,0,1063,1,1,0,2015,3,30,0,0.0,0.0,0.0,12178.185
29,503,6,0,0,0,0,2013,9,29,1,0.0,0.0,0.0,149.86977
30,221,3,562,1,1,0,2015,3,5,0,0.0,0.0,0.0,5521.4805
31,268,6,0,0,0,0,2014,11,2,1,0.0,0.0,0.0,-70.35788
32,799,1,927,1,1,1,2013,8,27,0,0.0,0.0,0.0,9110.592
33,260,5,894,1,0,0,2014,10,25,1,0.0,0.0,0.0,6501.4873
34,1041,1,594,1,0,0,2015,3,10,0,0.0,0.0,0.0,4742.271
35,350,1,533,1,1,0,2013,6,18,0,0.0,0.0,0.0,6611.1855
36,286,6,0,0,0,0,2015,4,5,1,0.0,0.0,0.0,104.413864
37,620,1,709,1,1,0,2013,6,4,0,0.0,0.0,0.0,7017.044
38,521,0,484,1,1,0,2013,6,17,0,0.0,0.0,0.0,5744.894
39,649,3,435,1,1,0,2014,11,27,0,0.0,0.0,0.0,4724.6313
40,1059,1,1239,1,1,0,2015,6,2,0,0.0,0.0,0.0,11020.311
41,486,5,373,1,0,0,2014,6,28,1,0.0,0.0,0.0,3585.582
42,252,3,642,1,0,0,2013,10,17,0,0.0,0.0,0.0,6652.367
43,656,2,421,1,1,0,2013,5,15,0,0.0,0.0,0.0,4208.38
44,642,4,394,1,0,0,2014,9,12,0,0.0,0.0,0.0,3295.6846
45,655,4,761,1,1,0,2015,5,8,0,0.0,0.0,0.0,7758.497
46,992,2,627,1,0,0,2013,6,26,0,0.0,0.0,0.0,4940.05
47,143,1,731,1,1,0,2015,6,2,0,0.0,0.0,0.0,8283.472
48,421,4,941,1,1,1,2014,7,18,0,0.0,0.0,0.0,7828.9053
49,246,3,1157,1,1,0,2014,10,2,0,0.0,0.0,0.0,9513.431
50,960,0,720,1,1,0,2014,4,28,0,0.0,0.0,0.0,7736.573
51,313,4,697,1,0,0,2014,1,17,0,0.0,0.0,0.0,5748.0903
52,291,5,534,1,0,0,2013,6,29,1,0.0,0.0,0.0,5010.7456
53,924,5,333,1,0,0,2014,5,31,1,0.0,0.0,0.0,3163.924
54,337,1,430,1,1,1,2013,8,13,0,0.0,0.0,0.0,5340.9585
55,1024,3,607,1,0,0,2015,3,12,0,0.0,0.0,0.0,4857.2314
56,56,2,402,1,1,0,2014,1,22,0,0.0,0.0,0.0,5190.6167
57,507,2,532,1,0,0,2014,4,9,0,0.0,0.0,0.0,5095.523
58,970,4,406,1,0,0,2013,3,15,0,0.0,0.0,0.0,3134.0908
59,846,1,828,1,0,0,2015,6,23,0,0.0,0.0,0.0,6674.1094
60,549,2,582,1,0,0,2014,8,27,0,0.0,0.0,0.0,4805.5376
61,1095,3,852,1,1,1,2013,3,28,0,0.0,0.0,0.0,8467.682
62,859,4,709,1,1,0,2013,4,12,0,0.0,0.0,0.0,5892.4062
63,914,1,1178,1,1,1,2014,7,29,0,0.0,0.0,0.0,10975.94
